Taxpayer_ID,Revenue,Expenses,Tax_Liability,Tax_Paid,Late_Filings,Compliance_Violations,Industry,Profit,Tax_Compliance_Ratio,Audit_Findings,Risk_Label
1,1149014.25,979871.09,39872.33,28921.92,2,1,Finance,169143.16,0.73,0,High
2,958520.71,884926.74,47832.22,39396.15,1,1,Retail,73593.97,0.82,0,Medium
3,1194306.56,711926.07,38113.7,43863.94,4,0,Manufacturing,482380.49,1.15,3,High
4,1456908.96,570612.64,45380.58,66876.88,4,2,Finance,886296.32,1.47,1,High
5,929753.99,839644.66,21595.78,53565.53,0,0,Tech,90109.33,2.48,2,Low
6,929758.91,778697.08,53199.41,34645.18,0,2,Manufacturing,151061.83,0.65,8,High
7,1473763.84,879038.64,50018.08,52860.36,2,0,Healthcare,594725.2,1.06,1,Medium
8,1230230.42,827034.36,37743.67,32526.96,1,2,Finance,403196.06,0.86,3,High
9,859157.68,909910.54,59888.69,58826.91,3,0,Healthcare,-50752.86,0.98,0,High
10,1162768.01,592952.96,64063.55,43288.75,0,2,Healthcare,569815.05,0.68,1,High
11,860974.69,963478.81,25886.6,47063.64,3,2,Healthcare,-102504.12,1.82,4,High
12,860281.07,739519.92,38559.13,61257.97,3,2,Retail,120761.15,1.59,9,High
13,1072588.68,1115052.17,38462.86,35128.36,1,2,Healthcare,-42463.49,0.91,0,High
14,426015.93,562162.44,35901.45,34028.82,2,2,Tech,-136146.51,0.95,6,High
15,482524.65,1047192.76,62442.12,42164.01,1,1,Tech,-564668.11,0.68,3,High
16,831313.74,739582.16,47092.61,58383.79,0,2,Manufacturing,91731.58,1.24,5,High
17,696150.66,569716.4,46032.28,32806.54,3,1,Healthcare,126434.26,0.71,7,High
18,1094274.2,603222.83,19942.06,19678.44,1,2,Healthcare,491051.37,0.99,5,High
19,727592.78,635930.54,59531.27,43488.41,1,1,Finance,91662.24,0.73,1,High
20,576308.89,784833.19,31411.12,53517.41,1,1,Retail,-208524.3,1.7,0,Low
21,1439694.63,804567.1,50898.99,60002.62,0,0,Manufacturing,635127.53,1.18,7,Low
22,932267.11,585260.0,54160.65,43368.39,2,2,Healthcare,347007.11,0.8,7,High
23,1020258.46,695129.08,70409.88,43885.73,1,0,Finance,325129.38,0.62,8,High
24,572575.54,1128454.07,30367.69,59539.01,0,0,Retail,-555878.53,1.96,5,Low
25,836685.18,1045508.63,4707.32,29302.58,3,2,Manufacturing,-208823.45,6.22,0,High
26,1033276.78,787264.73,52757.74,44114.79,4,0,Manufacturing,246012.05,0.84,8,High
27,654701.93,707600.7,77007.67,49904.24,0,2,Healthcare,-52898.77,0.65,2,High
28,1112709.41,724006.27,68584.2,52492.19,4,0,Manufacturing,388703.14,0.77,5,High
29,819808.39,822703.59,53144.89,42901.93,1,2,Finance,-2895.2,0.81,9,High
30,912491.88,495441.49,42625.46,48344.41,1,2,Manufacturing,417050.39,1.13,9,High
31,819488.02,648524.69,62106.84,23116.73,0,2,Tech,170963.33,0.37,8,High
32,1555683.46,366283.19,35396.81,41417.52,4,1,Finance,1189400.27,1.17,2,High
33,995950.83,779844.62,57145.37,52535.09,1,0,Retail,216106.21,0.92,4,Low
34,682686.72,829439.19,57582.05,38177.06,3,1,Retail,-146752.47,0.66,4,High
35,1246763.47,603362.71,65903.15,48589.84,2,0,Healthcare,643400.76,0.74,9,High
36,633746.91,1014797.35,91394.9,52468.73,2,0,Healthcare,-381050.44,0.57,6,High
37,1062659.08,454846.87,55886.24,44574.51,1,0,Tech,607812.21,0.8,3,Medium
38,412098.96,407125.02,42365.55,49704.64,4,1,Retail,4973.94,1.17,3,High
39,601544.19,744890.36,49616.39,38372.67,1,0,Retail,-143346.17,0.77,6,High
40,1059058.37,909419.66,23463.86,45933.89,4,1,Retail,149638.71,1.96,8,High
41,1221539.97,1036785.54,39579.3,54102.16,3,2,Retail,184754.43,1.37,3,High
42,1051410.48,608223.15,43860.76,49569.73,4,0,Manufacturing,443187.33,1.13,3,High
43,965305.52,915736.17,42138.67,42134.69,1,0,Finance,49569.35,1.0,5,Low
44,909668.89,692298.31,52285.32,50242.16,3,2,Finance,217370.58,0.96,5,High
45,556443.4,665474.54,37663.7,55146.1,0,2,Tech,-109031.14,1.46,6,High
46,784046.74,876731.99,66815.46,27500.59,2,0,Manufacturing,-92685.25,0.41,0,High
47,861808.37,830464.58,50003.11,59590.74,1,2,Retail,31343.79,1.19,2,High
48,1317136.67,384721.57,49860.5,44637.45,1,1,Retail,932415.1,0.9,8,Low
49,1103085.49,995308.07,45081.58,52254.9,1,1,Healthcare,107777.42,1.16,5,Low
50,471087.95,976018.27,52327.86,59972.47,3,0,Healthcare,-504930.32,1.15,5,High
51,1097225.19,574887.46,62376.47,34283.26,0,1,Tech,522337.73,0.55,4,High
